path,subject_id,class_id,eye,split,img_key
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R09.jpg,2135_R,2135,R,train,S2135R09
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R08.jpg,2135_R,2135,R,train,S2135R08
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R20.jpg,2135_R,2135,R,train,S2135R20
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R18.jpg,2135_R,2135,R,train,S2135R18
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R19.jpg,2135_R,2135,R,train,S2135R19
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R17.jpg,2135_R,2135,R,train,S2135R17
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R03.jpg,2135_R,2135,R,train,S2135R03
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R02.jpg,2135_R,2135,R,train,S2135R02
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R16.jpg,2135_R,2135,R,train,S2135R16
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R14.jpg,2135_R,2135,R,train,S2135R14
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R15.jpg,2135_R,2135,R,train,S2135R15
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R01.jpg,2135_R,2135,R,train,S2135R01
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R05.jpg,2135_R,2135,R,train,S2135R05
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R11.jpg,2135_R,2135,R,train,S2135R11
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R10.jpg,2135_R,2135,R,train,S2135R10
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R04.jpg,2135_R,2135,R,train,S2135R04
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R12.jpg,2135_R,2135,R,train,S2135R12
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R06.jpg,2135_R,2135,R,train,S2135R06
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R07.jpg,2135_R,2135,R,train,S2135R07
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/R/S2135R13.jpg,2135_R,2135,R,train,S2135R13
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Lamp/135/L/S2135L19.jpg,2135_L,2135,L,train,S2135L19
