axis,intensity,pipeline,eer,far_at_eer,frr_at_eer,n_genuine,n_impostor
blur,0.0,baseline_cnn,0.06,0.06,0.06,150,150
blur,0.0,strip_cnn,0.3333333333333333,0.3333333333333333,0.3333333333333333,150,150
blur,0.0,iriscode,0.26666666666666666,0.26666666666666666,0.26666666666666666,150,150
blur,1.0,baseline_cnn,0.08,0.08,0.08,150,150
blur,1.0,strip_cnn,0.3333333333333333,0.3333333333333333,0.3333333333333333,150,150
blur,1.0,iriscode,0.26666666666666666,0.26666666666666666,0.26666666666666666,150,150
blur,2.0,baseline_cnn,0.10666666666666667,0.10666666666666667,0.10666666666666667,150,150
blur,2.0,strip_cnn,0.3466666666666667,0.3466666666666667,0.3466666666666667,150,150
blur,2.0,iriscode,0.2633333333333333,0.26666666666666666,0.26,150,150
blur,3.0,baseline_cnn,0.12,0.12,0.12,150,150
blur,3.0,strip_cnn,0.32999999999999996,0.32666666666666666,0.3333333333333333,150,150
blur,3.0,iriscode,0.29333333333333333,0.29333333333333333,0.29333333333333333,150,150
blur,4.0,baseline_cnn,0.16,0.16,0.16,150,150
blur,4.0,strip_cnn,0.38,0.38,0.38,150,150
blur,4.0,iriscode,0.31333333333333335,0.31333333333333335,0.31333333333333335,150,150
noise,0.0,baseline_cnn,0.06,0.06,0.06,150,150
noise,0.0,strip_cnn,0.3333333333333333,0.3333333333333333,0.3333333333333333,150,150
noise,0.0,iriscode,0.26666666666666666,0.26666666666666666,0.26666666666666666,150,150
noise,5.0,baseline_cnn,0.07333333333333333,0.07333333333333333,0.07333333333333333,150,150
noise,5.0,strip_cnn,0.30666666666666664,0.30666666666666664,0.30666666666666664,150,150
noise,5.0,iriscode,0.24666666666666667,0.25333333333333335,0.24,150,150
noise,10.0,baseline_cnn,0.1,0.1,0.1,150,150
noise,10.0,strip_cnn,0.31,0.30666666666666664,0.31333333333333335,150,150
noise,10.0,iriscode,0.2733333333333333,0.2733333333333333,0.2733333333333333,150,150
noise,20.0,baseline_cnn,0.14,0.14,0.14,150,150
noise,20.0,strip_cnn,0.38,0.38,0.38,150,150
noise,20.0,iriscode,0.37333333333333335,0.37333333333333335,0.37333333333333335,150,150
noise,30.0,baseline_cnn,0.14333333333333334,0.14666666666666667,0.14,150,150
noise,30.0,strip_cnn,0.3466666666666667,0.3466666666666667,0.3466666666666667,150,150
noise,30.0,iriscode,0.37333333333333335,0.37333333333333335,0.37333333333333335,150,150
illumination,-0.4,baseline_cnn,0.19333333333333333,0.19333333333333333,0.19333333333333333,150,150
illumination,-0.4,strip_cnn,0.31333333333333335,0.31333333333333335,0.31333333333333335,150,150
illumination,-0.4,iriscode,0.2733333333333333,0.2733333333333333,0.2733333333333333,150,150
illumination,-0.2,baseline_cnn,0.09666666666666668,0.1,0.09333333333333334,150,150
illumination,-0.2,strip_cnn,0.31333333333333335,0.31333333333333335,0.31333333333333335,150,150
illumination,-0.2,iriscode,0.2733333333333333,0.2733333333333333,0.2733333333333333,150,150
illumination,0.0,baseline_cnn,0.06,0.06,0.06,150,150
illumination,0.0,strip_cnn,0.3333333333333333,0.3333333333333333,0.3333333333333333,150,150
illumination,0.0,iriscode,0.26666666666666666,0.26666666666666666,0.26666666666666666,150,150
illumination,0.2,baseline_cnn,0.08,0.08,0.08,150,150
illumination,0.2,strip_cnn,0.31666666666666665,0.32,0.31333333333333335,150,150
illumination,0.2,iriscode,0.2633333333333333,0.26666666666666666,0.26,150,150
illumination,0.4,baseline_cnn,0.1,0.1,0.1,150,150
illumination,0.4,strip_cnn,0.32999999999999996,0.3333333333333333,0.32666666666666666,150,150
illumination,0.4,iriscode,0.2733333333333333,0.2733333333333333,0.2733333333333333,150,150
