axis,intensity,pipeline,eer,far_at_eer,frr_at_eer,n_genuine,n_impostor
blur,0.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
blur,0.0,strip_cnn,0.38,0.38,0.38,300,300
blur,0.0,iriscode,0.385,0.38666666666666666,0.38333333333333336,300,300
blur,1.0,baseline_cnn,0.32833333333333337,0.32666666666666666,0.33,300,300
blur,1.0,strip_cnn,0.4033333333333333,0.4033333333333333,0.4033333333333333,300,300
blur,1.0,iriscode,0.3933333333333333,0.3933333333333333,0.3933333333333333,300,300
blur,2.0,baseline_cnn,0.355,0.36,0.35,300,300
blur,2.0,strip_cnn,0.435,0.43333333333333335,0.43666666666666665,300,300
blur,2.0,iriscode,0.37333333333333335,0.37333333333333335,0.37333333333333335,300,300
blur,3.0,baseline_cnn,0.3716666666666667,0.37,0.37333333333333335,300,300
blur,3.0,strip_cnn,0.43333333333333335,0.43333333333333335,0.43333333333333335,300,300
blur,3.0,iriscode,0.4066666666666667,0.4066666666666667,0.4066666666666667,300,300
blur,4.0,baseline_cnn,0.3716666666666667,0.37333333333333335,0.37,300,300
blur,4.0,strip_cnn,0.475,0.47333333333333333,0.4766666666666667,300,300
blur,4.0,iriscode,0.4266666666666667,0.4266666666666667,0.4266666666666667,300,300
noise,0.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
noise,0.0,strip_cnn,0.38,0.38,0.38,300,300
noise,0.0,iriscode,0.385,0.38666666666666666,0.38333333333333336,300,300
noise,5.0,baseline_cnn,0.32499999999999996,0.32666666666666666,0.3233333333333333,300,300
noise,5.0,strip_cnn,0.3616666666666667,0.36,0.36333333333333334,300,300
noise,5.0,iriscode,0.39666666666666667,0.39666666666666667,0.39666666666666667,300,300
noise,10.0,baseline_cnn,0.3433333333333333,0.3433333333333333,0.3433333333333333,300,300
noise,10.0,strip_cnn,0.3566666666666667,0.3566666666666667,0.3566666666666667,300,300
noise,10.0,iriscode,0.42500000000000004,0.4266666666666667,0.42333333333333334,300,300
noise,20.0,baseline_cnn,0.3516666666666667,0.35333333333333333,0.35,300,300
noise,20.0,strip_cnn,0.3866666666666667,0.39,0.38333333333333336,300,300
noise,20.0,iriscode,0.43000000000000005,0.43333333333333335,0.4266666666666667,300,300
noise,30.0,baseline_cnn,0.37333333333333335,0.37333333333333335,0.37333333333333335,300,300
noise,30.0,strip_cnn,0.43333333333333335,0.43333333333333335,0.43333333333333335,300,300
noise,30.0,iriscode,0.44666666666666666,0.44666666666666666,0.44666666666666666,300,300
illumination,-0.4,baseline_cnn,0.3783333333333333,0.38,0.37666666666666665,300,300
illumination,-0.4,strip_cnn,0.385,0.38666666666666666,0.38333333333333336,300,300
illumination,-0.4,iriscode,0.3683333333333333,0.37,0.36666666666666664,300,300
illumination,-0.2,baseline_cnn,0.3466666666666667,0.3466666666666667,0.3466666666666667,300,300
illumination,-0.2,strip_cnn,0.38,0.38,0.38,300,300
illumination,-0.2,iriscode,0.38,0.38,0.38,300,300
illumination,0.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
illumination,0.0,strip_cnn,0.38,0.38,0.38,300,300
illumination,0.0,iriscode,0.385,0.38666666666666666,0.38333333333333336,300,300
illumination,0.2,baseline_cnn,0.32,0.32,0.32,300,300
illumination,0.2,strip_cnn,0.38333333333333336,0.38333333333333336,0.38333333333333336,300,300
illumination,0.2,iriscode,0.38666666666666666,0.38666666666666666,0.38666666666666666,300,300
