path,subject_id,class_id,eye,split,img_key,has_gt,strip_path,strip_path_gt,fisnet_ok,gt_ok,reason_fisnet,reason_gt
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R02.jpg,1135_R,1135,R,train,S1135R02,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R02.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R02.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R03.jpg,1135_R,1135,R,train,S1135R03,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R03.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R03.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R01.jpg,1135_R,1135,R,train,S1135R01,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R01.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R01.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R04.jpg,1135_R,1135,R,train,S1135R04,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R04.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R04.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R05.jpg,1135_R,1135,R,train,S1135R05,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R05.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R05.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R07.jpg,1135_R,1135,R,train,S1135R07,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R07.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R07.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/R/S1135R06.jpg,1135_R,1135,R,train,S1135R06,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135R06.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135R06.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L05.jpg,1135_L,1135,L,train,S1135L05,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L05.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L05.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L04.jpg,1135_L,1135,L,train,S1135L04,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L04.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L04.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L06.jpg,1135_L,1135,L,train,S1135L06,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L06.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L06.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L07.jpg,1135_L,1135,L,train,S1135L07,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L07.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L07.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L03.jpg,1135_L,1135,L,train,S1135L03,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L03.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L03.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L02.jpg,1135_L,1135,L,train,S1135L02,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L02.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L02.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/135/L/S1135L01.jpg,1135_L,1135,L,train,S1135L01,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1135L01.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1135L01.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R02.jpg,1132_R,1132,R,val,S1132R02,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R02.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R02.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R03.jpg,1132_R,1132,R,val,S1132R03,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R03.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R03.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R01.jpg,1132_R,1132,R,val,S1132R01,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R01.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R01.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R04.jpg,1132_R,1132,R,val,S1132R04,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R04.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R04.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R05.jpg,1132_R,1132,R,val,S1132R05,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R05.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R05.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R07.jpg,1132_R,1132,R,val,S1132R07,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R07.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R07.png,True,True,,
/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/CASIA-Iris-Interval/132/R/S1132R06.jpg,1132_R,1132,R,val,S1132R06,True,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips/S1132R06.png,/Users/hrishi/Desktop/dev/Milestone1 BSAI/checkpoint_deliverable/data/casia_interval_strips_gt/S1132R06.png,True,True,,
